val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50,val51,val52,val53,val54,val55,val56,val57,val58,val59,val60,val61,val62,val63,val64,val65,val66,val67,val68,val69,val70,val71,val72,val73,val74,val75,val76,val77,val78,val79,val80,val81,val82,val83,val84,val85,val86,val87,val88,val89,val90,val91,val92,val93,val94,val95,val96,val97,val98,val99
1,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,0.000408122,1
1,0.500612,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.000816243,0.500612,1
1,0.500816,0.251122,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.00122436,0.251122,0.500816,1
1,0.625969,0.251428,0.126581,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.00163249,0.126581,0.251428,0.625969,1
1,0.626122,0.376684,0.126939,0.0645151,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.00204061,0.0645151,0.126939,0.376684,0.626122,1
1,0.68875,0.376939,0.221007,0.0648977,0.033686,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.00244873,0.033686,0.0648977,0.221007,0.376939,0.68875,1
1,0.688877,0.455287,0.221326,0.127755,0.0340813,0.0184755,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.00285685,0.0184755,0.0340813,0.127755,0.221326,0.455287,0.688877,1
1,0.728052,0.45551,0.291929,0.128112,0.0735233,0.0188772,0.0110743,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.00326497,0.0110743,0.0188772,0.0735233,0.128112,0.291929,0.45551,0.728052,1
1,0.728163,0.510398,0.292219,0.183134,0.0739027,0.0427069,0.0114792,0.00757775,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00367309,0.00757775,0.0114792,0.0427069,0.0739027,0.183134,0.292219,0.510398,0.728163,1
1,0.755607,0.510599,0.347174,0.183469,0.113329,0.0430991,0.0255504,0.00798428,0.00603354,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00408122,0.00603354,0.00798428,0.0255504,0.0430991,0.113329,0.183469,0.347174,0.510599,0.755607,1
1,0.755708,0.551799,0.347442,0.23066,0.113692,0.0698477,0.0259498,0.0162001,0.00644087,0.0054655,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.0054655,0.00644087,0.0162001,0.0259498,0.0698477,0.113692,0.23066,0.347442,0.551799,0.755708,1
1,0.776308,0.551983,0.391637,0.230975,0.150662,0.0702291,0.043432,0.0166035,0.0112409,0.00587322,0.00538554,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00538554,0.00587322,0.0112409,0.0166035,0.043432,0.0702291,0.150662,0.230975,0.391637,0.551983,0.776308,1
1,0.7764,0.584381,0.391887,0.271558,0.15101,0.097455,0.0438244,0.0277446,0.0116465,0.00872136,0.00579346,0.00554962,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00554962,0.00579346,0.00872136,0.0116465,0.0277446,0.0438244,0.097455,0.15101,0.271558,0.391887,0.584381,0.7764,1
1,0.792598,0.584552,0.428377,0.271857,0.184915,0.0978255,0.0630079,0.0281436,0.0186411,0.00912808,0.00754361,0.00595764,0.00583572,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.00583572,0.00595764,0.00754361,0.00912808,0.0186411,0.0281436,0.0630079,0.0978255,0.184915,0.271857,0.428377,0.584552,0.792598,1
1,0.792684,0.610896,0.428612,0.307054,0.185249,0.124369,0.0633926,0.0412326,0.0190439,0.0135005,0.00795099,0.00709779,0.00624379,0.00618283,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00618283,0.00624379,0.00709779,0.00795099,0.0135005,0.0190439,0.0412326,0.0633926,0.124369,0.185249,0.307054,0.428612,0.610896,0.792684,1
